y	x
-16.392799900000000	-71.538259499999900
-16.395885700000000 -71.539761499999900
-16.394307699999900	-71.539031300000000
-16.392487899999900	-71.540206499999900
-16.392255500000000	-71.540604400000000
-16.395789499999900	-71.539641900000000
-16.392621999999900	-71.539752600000000
-16.392598499999900	-71.539452800000000
-16.396224700000000	-71.536540299999900
-16.394491400000000	-71.535904000000000
-16.393462599999900	-71.541253800000000
-16.393512099999900	-71.542930600000000
-16.393468100000000	-71.543953200000000
-16.402370600000000	-71.542846100000000
-16.405687400000000	-71.540094199999900
-16.412685300000000	-71.545555600000000
-16.422157500000000	-71.544252499999900
-16.421309800000000	-71.545710999999900
-16.397086300000000	-71.536880100000000
-16.393933199999900	-71.535700800000000
-16.393334400000000	-71.535448099999900
-16.393123100000000	-71.535145200000000
-16.392539100000000	-71.537052000000000
-16.393048199999900	-71.536380500000000
-16.392911600000000	-71.536574500000000
-16.399955100000000	-71.542091700000000
-16.394986599999900	-71.536085700000000
-16.396032600000000	-71.536469299999900
-16.396467900000000	-71.540744099999900
-16.396685399999900	-71.540667999999900
-16.392760800000000	-71.537169599999900
-16.392003299999900	-71.539568900000000
-16.397310900000000	-71.547199399999900
-16.397144300000000	-71.547523699999900
-16.397241600000000	-71.547556900000000
-16.399715799999900	-71.542457700000000
-16.399089700000000	-71.541844200000000
-16.400632500000000	-71.542480600000000
-16.399483300000000	-71.541922600000000
-16.398399500000000	-71.541807899999900
-16.402406100000000	-71.542753500000000
-16.412140999999900	-71.545107000000000
-16.408348100000000	-71.551471399999900
-16.421147500000000	-71.545697099999900
-16.405940000000000	-71.547209600000000
-16.406033499999900	-71.547188199999900
-16.404232900000000	-71.546225500000000
-16.404844300000000	-71.546543600000000
-16.404324400000000	-71.542484599999900
-16.404729700000000	-71.542789600000000
-16.404581799999900	-71.542447999999900
-16.404236900000000	-71.542612000000000
-16.402562799999900	-71.547271300000000
-16.404357099999900	-71.542937400000000
-16.403158500000000	-71.547485499999900
-16.402370000000000	-71.547848500000000
-16.400067600000000	-71.549864600000000
-16.403706900000000	-71.549307299999900
-16.402432600000000	-71.549093299999900
-16.402665400000000	-71.550926500000000
-16.402545799999900	-71.551226200000000
-16.401560799999900	-71.550808500000000
-16.400317900000000	-71.546435299999900
-16.397993700000000	-71.545727600000000
-16.397887500000000	-71.545685899999900
-16.399679299999900	-71.546384500000000
-16.402838200000000	-71.551461399999900
-16.402882000000000	-71.551349900000000
-16.416578600000000	-71.550678599999900
-16.404095000000000	-71.543559500000000
-16.404130899999900	-71.543476200000000
-16.420095700000000	-71.538119399999900
-16.420868200000000	-71.540459100000000
-16.417624000000000	-71.534764899999900
-16.421413399999900	-71.541447199999900
-16.423002499999900	-71.545240800000000
-16.396802500000000	-71.534308600000000
-16.397196699999900	-71.533206800000000
-16.399242900000000	-71.534049100000000
-16.398610000000000	-71.532566900000000
-16.394403499999900	-71.532043500000000
-16.391950999999900	-71.531400199999900
-16.393302200000000	-71.535309999999900
-16.392299800000000	-71.534387300000000
-16.391884500000000	-71.532362500000000
-16.393917600000000	-71.531789599999900
-16.393419699999900	-71.533657300000000
-16.393522800000000	-71.531736699999900
-16.391884399999900	-71.531402400000000
-16.390919100000000	-71.528546599999900
-16.391643599999900	-71.530731799999900
-16.391702100000000	-71.530692000000000
-16.392438599999900	-71.530666900000000
-16.393490199999900	-71.530644100000000
-16.394775899999900	-71.531052900000000
-16.392422300000000	-71.531515600000000
-16.393408300000000	-71.529358299999900
-16.400514399999900	-71.546502000000000
-16.398599200000000	-71.544580600000000
-16.393373799999900	-71.533835300000000
-16.394631499999900	-71.536574400000000
-16.395191400000000	-71.536683100000000
-16.394788900000000	-71.536636500000000
-16.395383299999900	-71.536337700000000
-16.394678299999900	-71.536329600000000
-16.395826400000000	-71.537059299999900
-16.395324100000000	-71.536415599999900
-16.396400199999900	-71.542631600000000
-16.394596400000000	-71.536665999999900
-16.397631000000000	-71.537066400000000
-16.396070699999900	-71.536476600000000
-16.394879599999900	-71.536384100000000
-16.394607000000000	-71.536562300000000
-16.395706300000000	-71.537016300000000
-16.395917300000000	-71.536933000000000
-16.395610200000000	-71.536822400000000
-16.397571100000000	-71.532142800000000
-16.399011200000000	-71.531463700000000
-16.393850300000000	-71.528413700000000
-16.397980900000000	-71.531020799999900
-16.405479900000000	-71.540499800000000
-16.404325799999900	-71.540565599999900
-16.403313799999900	-71.543062500000000
-16.398221199999900	-71.533636200000000
-16.395076599999900	-71.532318099999900
-16.397413799999900	-71.547310999999900
-16.417508000000000	-71.549782699999900
-16.422053699999900	-71.544478600000000
-16.421043200000000	-71.545597599999900
-16.422456199999900	-71.544383100000000
-16.422456199999900	-71.544254600000000
-16.416974100000000	-71.550448700000000
-16.417793700000000	-71.550074300000000
-16.422169100000000	-71.544592800000000
-16.416885000000000	-71.550245799999900
-16.427280499999900	-71.558234600000000
-16.427341899999900	-71.558160000000000
-16.413568200000000	-71.554139000000000
-16.432041500000000	-71.563005000000000
-16.403876000000000	-71.518726000000000
-16.400144999999900	-71.538000800000000
-16.401990399999900	-71.549962300000000
-16.409394800000000	-71.536460800000000
-16.429819400000000	-71.560192599999900
-16.404692799999900	-71.535042899999900
-16.412208799999900	-71.527604999999900
-16.396473600000000	-71.538501100000000
-16.408285400000000	-71.533403399999900
-16.399081500000000	-71.546157699999900
-16.404222699999900	-71.549527499999900
-16.413002299999900	-71.527997900000000
-16.400545300000000	-71.536967399999900
-16.397335200000000	-71.529394499999900
-16.414060400000000	-71.543503999999900
-16.408512999999900	-71.544518100000000
-16.413918400000000	-71.529433800000000
-16.411295899999900	-71.539963299999900
-16.385150100000000	-71.537226799999900
-16.405506400000000	-71.551769399999900
-16.410179500000000	-71.550122599999900
-16.408318000000000	-71.549089499999900
-16.399412600000000	-71.548614999999900
-16.416833799999900	-71.533156500000000
-16.398174500000000	-71.543486200000000
-16.409177300000000	-71.537391200000000
-16.398072800000000	-71.523957699999900
-16.412092900000000	-71.527431899999900
-16.405403199999900	-71.543031799999900
-16.400162999999900	-71.541509899999900
-16.408962299999900	-71.535922999999900
-16.403350199999900	-71.540422300000000
-16.416550800000000	-71.549343699999900
-16.410983800000000	-71.546440399999900
-16.399530100000000	-71.530580999999900
-16.414644200000000	-71.528849100000000
-16.403229700000000	-71.530328499999900
-16.415091499999900	-71.540431699999900
-16.408124999999900	-71.526739000000000
-16.401696600000000	-71.518307600000000
-16.401635899999900	-71.545152200000000
-16.402352000000000	-71.518998400000000
-16.408288899999900	-71.544419899999900
-16.405986599999900	-71.526669900000000
-16.404296200000000	-71.536146400000000
-16.400106900000000	-71.541666199999900
-16.420933200000000	-71.540362400000000
-16.391044399999900	-71.536826099999900
-16.400825500000000	-71.539453100000000
-16.398879900000000	-71.546692199999900
-16.419083499999900	-71.547736299999900
-16.414268100000000	-71.529087399999900
-16.399780499999900	-71.539082600000000
-16.402283099999900	-71.549393100000000
-16.412806799999900	-71.535259199999900
-16.407630099999900	-71.538727199999900
-16.403950800000000	-71.519635100000000
-16.390212399999900	-71.530144199999900
-16.410575300000000	-71.544930600000000
-16.396196700000000	-71.526576300000000
-16.406866099999900	-71.518295499999900
-16.414796599999900	-71.540623699999900
-16.420188100000000	-71.538098000000000
-16.399681300000000	-71.549581200000000
-16.402988400000000	-71.536785100000000
-16.401136200000000	-71.541503800000000
-16.416720200000000	-71.533869800000000
-16.406929200000000	-71.541944299999900
-16.399127799999900	-71.537626000000000
-16.407540900000000	-71.535623299999900
-16.406441699999900	-71.542957099999900
-16.408537400000000	-71.528584600000000
-16.421972300000000	-71.552239200000000
-16.390577199999900	-71.531420499999900
-16.400484200000000	-71.540546300000000
-16.408863300000000	-71.534275699999900
-16.408691200000000	-71.543474399999900
-16.410993800000000	-71.536399299999900
-16.411413499999900	-71.531828000000000
-16.420397200000000	-71.540526299999900
-16.398068599999900	-71.543717400000000
-16.407277799999900	-71.526816999999900
-16.402494600000000	-71.529423100000000
-16.409560700000000	-71.526635200000000
-16.405854600000000	-71.530772299999900
-16.402613500000000	-71.537759300000000
-16.395673599999900	-71.545675700000000
-16.404199500000000	-71.521811299999900
-16.392412300000000	-71.535078799999900
-16.399482299999900	-71.536562200000000
-16.405829499999900	-71.525434700000000
-16.419307900000000	-71.537712999999900
-16.406688200000000	-71.524968099999900
-16.414950800000000	-71.539547299999900
-16.404823400000000	-71.531352100000000
-16.403811800000000	-71.539362499999900
-16.399940300000000	-71.547572900000000
-16.410605300000000	-71.523968300000000
-16.407352299999900	-71.531112899999900
-16.411262700000000	-71.552061300000000
-16.412054300000000	-71.538496199999900
-16.406277899999900	-71.532218299999900
-16.401303599999900	-71.540998599999900
-16.407710900000000	-71.533969099999900
-16.408810599999900	-71.528985800000000
-16.409811699999900	-71.534448299999900
-16.404853700000000	-71.528046099999900
-16.411848400000000	-71.531446399999900
-16.394143600000000	-71.536963200000000
-16.406021200000000	-71.525666400000000
-16.411773199999900	-71.526959199999900
-16.400004899999900	-71.522114200000000
-16.403067700000000	-71.541112100000000
-16.411982200000000	-71.528455100000000
-16.406942600000000	-71.529798299999900
-16.412491500000000	-71.535426999999900
-16.396527299999900	-71.547579700000000
-16.405588999999900	-71.537859299999900
-16.414917599999900	-71.534333000000000
-16.398566700000000	-71.542456900000000
-16.432246299999900	-71.563502999999900
-16.405150899999900	-71.529366100000000
-16.401286100000000	-71.534880000000000
-16.400962900000000	-71.526133000000000
-16.406983000000000	-71.543619199999900
-16.400303399999900	-71.528370600000000
-16.418176700000000	-71.548928799999900
-16.412186800000000	-71.541262000000000
-16.424146499999900	-71.555624600000000
-16.403430199999900	-71.518505000000000
-16.399407600000000	-71.540073399999900
-16.408359300000000	-71.535817199999900
-16.394436800000000	-71.529087099999900
-16.408541700000000	-71.519608099999900
-16.398963500000000	-71.522519700000000
-16.396927000000000	-71.530499399999900
-16.407009800000000	-71.528919500000000
-16.430769500000000	-71.563754399999900
-16.404794100000000	-71.528954299999900
-16.400694900000000	-71.533371299999900
-16.402933200000000	-71.525707299999900
-16.409162500000000	-71.529185299999900
-16.407851500000000	-71.538916099999900
-16.395826300000000	-71.537594200000000
-16.412289099999900	-71.537118699999900
-16.431727100000000	-71.563134099999900
-16.398100299999900	-71.537227299999900
-16.403459500000000	-71.530623899999900
-16.417249999999900	-71.542522000000000
-16.408480600000000	-71.532486500000000
-16.413366600000000	-71.538287600000000
-16.405401300000000	-71.520978400000000
-16.406262900000000	-71.543356299999900
-16.407988700000000	-71.540447400000000
-16.405838899999900	-71.531657300000000
-16.410860700000000	-71.547614800000000
-16.416506800000000	-71.533537499999900
-16.418597299999900	-71.550740500000000
-16.404407400000000	-71.528484599999900
-16.402271100000000	-71.540669899999900
-16.408939900000000	-71.544728800000000
-16.406492799999900	-71.525185699999900
-16.410047400000000	-71.539425899999900
-16.403499799999900	-71.552347900000000
-16.402474800000000	-71.526423600000000
-16.388445200000000	-71.530745800000000
-16.400127399999900	-71.547036100000000
-16.405802900000000	-71.541071700000000
-16.398564100000000	-71.536344299999900
-16.406909100000000	-71.533059899999900
-16.413173900000000	-71.541667799999900
-16.411807799999900	-71.538466099999900
-16.407882600000000	-71.524221100000000
-16.403514399999900	-71.518471899999900
-16.411300499999900	-71.530389099999900
-16.401424899999900	-71.545541900000000
-16.395576899999900	-71.545863100000000
-16.406977699999900	-71.536035200000000
-16.424016800000000	-71.547532500000000
-16.400972299999900	-71.540926600000000
-16.406053499999900	-71.533776700000000
-16.407507100000000	-71.527133699999900
-16.420800400000000	-71.551102700000000
-16.401938399999900	-71.524492199999900
-16.412403600000000	-71.525880099999900
-16.403844200000000	-71.540511400000000
-16.409564300000000	-71.536718500000000
-16.397765400000000	-71.546251600000000
-16.420394699999900	-71.538719400000000
-16.408138800000000	-71.529716100000000
-16.387793200000000	-71.538116000000000
-16.400289699999900	-71.544682399999900
-16.408964300000000	-71.523709299999900
-16.413371800000000	-71.535024500000000
-16.414727200000000	-71.545403300000000
-16.419059799999900	-71.551158200000000
-16.409605100000000	-71.532214300000000
-16.411358900000000	-71.539035999999900
-16.418102999999900	-71.548866099999900
-16.431793200000000	-71.563070900000000
-16.413998100000000	-71.536337799999900
-16.392318499999900	-71.535957300000000
-16.394237199999900	-71.528798100000000
-16.407345299999900	-71.537982099999900
-16.426082500000000	-71.551121199999900
-16.395767200000000	-71.533890299999900
-16.407855000000000	-71.515122899999900
-16.396673300000000	-71.545209799999900
-16.392726300000000	-71.533561800000000
-16.413087999999900	-71.528597399999900
-16.406164799999900	-71.527692099999900
-16.405823000000000	-71.518748500000000
-16.406726899999900	-71.539432000000000
-16.404363499999900	-71.531737600000000
-16.403538600000000	-71.541275099999900
-16.413995799999900	-71.540428199999900
-16.411200000000000	-71.536913200000000
-16.397663900000000	-71.546213800000000
-16.408040700000000	-71.526454099999900
-16.397707700000000	-71.538314700000000
-16.417701399999900	-71.534736300000000
-16.403093500000000	-71.533108200000000
-16.410806200000000	-71.528655000000000
-16.413460900000000	-71.539052200000000
-16.412493600000000	-71.537688200000000
-16.406069700000000	-71.543745200000000
-16.407920600000000	-71.538393200000000
-16.404855300000000	-71.532317399999900
-16.402637400000000	-71.516897700000000
-16.397262099999900	-71.539504100000000
-16.405365000000000	-71.536557299999900
-16.409026999999900	-71.528475700000000
-16.405739600000000	-71.533387800000000
-16.401942600000000	-71.536359099999900
-16.406870300000000	-71.527304400000000
-16.393573000000000	-71.536735300000000
-16.399009199999900	-71.548249299999900
-16.403011599999900	-71.521789900000000
