p1_x,p1_y,p2_x,p2_y
-71.5382595,-16.3927999,-71.538474,-16.3926015
-71.5382595,-16.3927999,-71.5373579,-16.3926671
-71.5382595,-16.3927999,-71.5384997,-16.3931114
-71.5397615,-16.3958857,-71.5400255,-16.3958616
-71.5397615,-16.3958857,-71.5396419,-16.3957895
-71.5397615,-16.3958857,-71.540668,-16.3966854
-71.5397615,-16.3958857,-71.5397076,-16.3959183
-71.5390313,-16.3943077,-71.5397355,-16.3956358
-71.5390313,-16.3943077,-71.5402065,-16.3924879
-71.5390313,-16.3943077,-71.538474,-16.3926015
-71.5402065,-16.3924879,-71.5378583,-16.3932361
-71.5402065,-16.3924879,-71.5406044,-16.3922555
-71.5406044,-16.3922555,-71.5397526,-16.392622
-71.5406044,-16.3922555,-71.5406637,-16.3923553
-71.5396419,-16.3957895,-71.5396024,-16.3957552
-71.5396419,-16.3957895,-71.5397647,-16.3956598
-71.5397526,-16.392622,-71.5394528,-16.3925985
-71.5397526,-16.392622,-71.5397254,-16.3924362
-71.5394528,-16.3925985,-71.5394942,-16.3924338
-71.5394528,-16.3925985,-71.5376215,-16.3932592
-71.5365403,-16.3962247,-71.5364766,-16.3960707
-71.5365403,-16.3962247,-71.5368801,-16.3970863
-71.5365403,-16.3962247,-71.5375942,-16.3958263
-71.535904,-16.3944914,-71.5369632,-16.3941436
-71.535904,-16.3944914,-71.5357008,-16.3939332
-71.535904,-16.3944914,-71.5360857,-16.3949866
-71.5412538,-16.3934626,-71.5406637,-16.3923553
-71.5412538,-16.3934626,-71.5418525,-16.3947735
-71.5412538,-16.3934626,-71.5419936,-16.3932128
-71.5429306,-16.3935121,-71.5431279,-16.3940219
-71.5429306,-16.3935121,-71.5419936,-16.3932128
-71.5429306,-16.3935121,-71.5439532,-16.3934681
-71.5439532,-16.3934681,-71.5441206,-16.393895
-71.5428461,-16.4023706,-71.5428246,-16.4025393
-71.5428461,-16.4023706,-71.5427535,-16.4024061
-71.5428461,-16.4023706,-71.5428097,-16.4014739
-71.5400942,-16.4056874,-71.5402637,-16.4055852
-71.5400942,-16.4056874,-71.5401318,-16.4057349
-71.5400942,-16.4056874,-71.5394231,-16.4039871
-71.5400942,-16.4056874,-71.5401445,-16.4055366
-71.5400942,-16.4056874,-71.540049,-16.4057337
-71.5455556,-16.4126853,-71.5456077,-16.4126469
-71.5455556,-16.4126853,-71.545107,-16.412141
-71.5455556,-16.4126853,-71.5450135,-16.4131199
-71.5455556,-16.4126853,-71.5460694,-16.4133009
-71.5442525,-16.4221575,-71.5443571,-16.4221487
-71.5442525,-16.4221575,-71.5443413,-16.4219977
-71.5442525,-16.4221575,-71.5442049,-16.422187
-71.545711,-16.4213098,-71.5455878,-16.4214242
-71.545711,-16.4213098,-71.5479737,-16.4236298
-71.545711,-16.4213098,-71.5455595,-16.4212786
-71.545711,-16.4213098,-71.5456971,-16.4211475
-71.545711,-16.4213098,-71.5458571,-16.421179
-71.5368801,-16.3970863,-71.5379323,-16.3966834
-71.5368801,-16.3970863,-71.5370664,-16.397631
-71.5368801,-16.3970863,-71.5357903,-16.3974576
-71.5357008,-16.3939332,-71.5367353,-16.393573
-71.5357008,-16.3939332,-71.5354481,-16.3933344
-71.5357008,-16.3939332,-71.5351557,-16.3941264
-71.5354481,-16.3933344,-71.53531,-16.3933022
-71.5354481,-16.3933344,-71.535507,-16.3931692
-71.5354481,-16.3933344,-71.5356119,-16.3933105
-71.5351452,-16.3931231,-71.5350589,-16.3929895
-71.5351452,-16.3931231,-71.5350183,-16.3931974
-71.5351452,-16.3931231,-71.53531,-16.3933022
-71.537052,-16.3925391,-71.5374858,-16.391913
-71.537052,-16.3925391,-71.5371696,-16.3927608
-71.537052,-16.3925391,-71.538474,-16.3926015
-71.537052,-16.3925391,-71.5369023,-16.3926178
-71.5363805,-16.3930482,-71.5364818,-16.3929853
-71.5363805,-16.3930482,-71.5359573,-16.3923185
-71.5363805,-16.3930482,-71.5361592,-16.3931448
